Syntax version=4
Mon Jun 24 13:14:02 2019
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		count1	duty1
D:	447.29	905	950
D:	448.64	905	950
D:	450.17	905	950
D:	451.81	905	950
D:	453.18	905	950
D:	454.57	905	950
D:	456.12	905	950
D:	457.52	905	950
D:	458.96	905	950
D:	460.35	905	1000
D:	461.69	900	1000
D:	463.09	900	1000
D:	464.39	900	1000
D:	466.06	900	1000
D:	467.59	900	1000
D:	469.44	900	1000
D:	471.06	900	1000
D:	472.59	900	1000
D:	474.15	900	1000
D:	475.72	900	1000
D:	477.05	900	1000
D:	478.32	900	1000
D:	479.64	900	1000
D:	481.00	900	1000
D:	482.35	900	1000
D:	483.79	900	1000
D:	485.22	900	1000
D:	486.57	900	1000
D:	488.04	900	1000
D:	489.41	900	1000
D:	490.74	900	1000
D:	492.19	900	1000
D:	493.76	900	1000
D:	495.08	900	1000
D:	496.52	900	1000
D:	497.92	900	1000
D:	499.39	900	1000
D:	500.87	900	1000
D:	502.41	900	1000
D:	503.79	900	1000
D:	505.32	900	1000
D:	506.68	900	1000
D:	507.99	900	1000
D:	509.28	900	1000
D:	510.57	900	1000
D:	511.99	900	1000
D:	513.26	900	1000
D:	514.66	900	1000
D:	515.92	900	1000
D:	517.20	900	1000
D:	518.84	900	1000
D:	521.16	900	1000
D:	523.62	900	1000
D:	525.70	900	1000
D:	527.98	900	1000
D:	529.82	900	1000
D:	531.17	900	1000
D:	532.54	900	1000
D:	533.95	900	1000
D:	535.75	900	1000
D:	537.16	900	1000
D:	538.57	900	1000
D:	539.89	900	1000
D:	541.25	905	950
D:	542.69	905	950
D:	544.01	905	950
D:	545.37	905	950
D:	546.88	905	950
D:	548.83	905	950
D:	550.33	905	950
D:	551.91	905	950
D:	553.87	905	950
D:	555.41	905	950
D:	557.01	905	950
D:	558.54	905	950
D:	560.17	905	950
D:	561.51	905	950
D:	562.79	905	950
D:	564.19	905	950
D:	565.75	905	950
D:	567.34	905	950
D:	568.81	905	950
D:	570.20	905	900
D:	571.64	0	900
D:	572.96	910	900
D:	574.35	910	900
D:	575.63	910	900
D:	577.02	910	900
D:	578.56	910	900
D:	579.89	910	900
D:	581.23	905	950
D:	582.64	905	950
D:	583.98	905	950
D:	585.37	905	950
D:	586.93	905	950
D:	588.30	905	950
D:	589.78	905	900
D:	591.57	910	900
D:	593.00	910	900
D:	594.24	910	900
D:	595.51	910	900
D:	596.79	910	900
D:	598.04	910	900
D:	599.33	910	900
D:	600.64	910	950
D:	602.20	905	950
D:	603.84	905	950
D:	606.14	905	950
D:	608.25	905	950
D:	610.45	905	950
D:	612.51	905	950
D:	614.62	905	950
D:	616.97	905	950
D:	619.22	905	950
D:	621.30	900	1000
D:	623.30	900	1000
D:	624.93	900	1000
D:	627.06	900	1000
D:	629.13	900	1000
D:	631.12	905	950
D:	632.75	905	950
D:	634.33	905	950
D:	636.16	905	950
D:	637.69	905	950
D:	639.09	905	950
D:	640.41	905	1000
D:	641.71	900	1000
D:	642.98	900	1000
D:	644.23	900	1000
D:	645.58	900	1000
D:	646.95	900	1000
D:	648.40	900	1000
D:	649.86	900	1000
D:	651.40	900	1000
D:	652.88	900	1000
D:	654.23	900	1000
D:	655.64	900	1000
D:	657.05	900	1000
D:	658.35	900	1000
D:	659.87	900	1000
D:	661.21	900	1000
D:	662.74	900	1000
D:	664.20	900	1000
D:	665.64	900	1000
D:	667.16	900	1000
D:	668.95	900	1000
D:	670.36	900	1000
D:	671.72	900	1000
D:	673.42	900	1000
D:	674.95	900	1000
D:	676.22	900	1000
D:	677.51	900	1000
D:	678.91	900	1000
D:	680.20	900	1000
D:	681.51	900	1000
D:	682.76	900	1000
D:	684.05	900	1000
D:	685.88	900	1000
D:	687.84	900	1000
D:	689.98	900	950
D:	692.03	905	950
D:	694.29	905	950
D:	696.39	905	950
D:	698.82	905	950
D:	700.92	905	1050
D:	703.24	895	1050
D:	705.38	895	1050
D:	707.39	895	1050
D:	709.67	895	1000
D:	711.84	900	1000
D:	714.23	900	1000
D:	716.31	900	1000
D:	717.90	900	1000
D:	719.67	900	1000
D:	721.53	900	1000
D:	723.22	900	1000
D:	724.85	900	1000
D:	726.51	900	1000
D:	728.19	900	1000
D:	729.54	900	1000
D:	730.79	900	1000
D:	732.07	900	1000
D:	733.57	900	1000
D:	735.08	900	1000
D:	736.39	900	1000
D:	737.84	900	1000
D:	739.26	900	1000
D:	740.57	900	1000
D:	741.92	900	1000
D:	743.32	900	1000
D:	744.64	900	1000
D:	746.06	900	1000
D:	747.51	900	1000
D:	748.89	900	1000
D:	750.21	900	1000
D:	751.86	900	1000
D:	753.31	900	1000
D:	754.69	900	1000
D:	755.97	900	1000
D:	757.51	900	1000
D:	758.93	900	1000
